Lemma	PoS	Freq(ipm)	Doc
быть	v	12160,7	34184
год	s	3727,5	29477
мочь	v	2912,3	25413
человек	s	2723	20423
сказать	v	2396,6	15426
еще	adv	2323,9	22654
уже	adv	2179,2	23140
время	s	2015,7	24342
говорить	v	1755	17120
знать	v	1713,8	13494
стать	v	1621,8	21235
дело	s	1412,1	18240
жизнь	s	1389,8	14894
очень	adv	1286,8	16281
день	s	1258,4	17383
новый	a	1217,5	21161
рука	s	1200,6	10370
раз	s	1131,8	16783
можно	adv	1125,9	19738
работа	s	1058,3	18222
надо	adv	993,2	12769
хотеть	v	991,3	12290
слово	s	967,9	14564
идти	v	957,1	13815
большой	a	944,4	17589
должен	a	944,2	17057
место	s	926,6	16518
иметь	v	906,7	17493
лицо	s	878	10267
друг	s	874,2	9689
нет	adv	874	14475
глаз	s	857,6	7664
тоже	adv	841,5	11399
видеть	v	818,2	9914
вопрос	s	805,8	15789
дом	s	792,6	10527
сторона	s	768,3	13501
думать	v	755,5	9254
сделать	v	743,5	14748
страна	s	725,7	14384
жить	v	725,5	10085
мир	s	714,7	12334
последний	a	712,6	16356
случай	s	709,7	14734
голова	s	709,4	6937
более	adv	706,2	16514
делать	v	701,1	12524
смотреть	v	667,2	9118
ребенок	s	658,3	8002
конечно	adv	647,3	11266
сила	s	645,8	12231
российский	a	644,6	13252
конец	s	634,7	11758
вид	s	620,1	13140
система	s	617,8	11090
работать	v	611,2	13409
понять	v	588,2	7880
пойти	v	587,2	8422
часть	s	585,4	13685
спросить	v	573,9	4653
город	s	573,4	10646
дать	v	573,1	11209
также	adv	569,9	15586
понимать	v	559,7	8240
получить	v	557,7	14913
отношение	s	557,4	11695
сидеть	v	538,1	5916
женщина	s	533,3	6029
оказаться	v	531,9	11735
русский	a	530,5	7621
взять	v	525,8	9275
прийти	v	523,3	9359
являться	v	522,9	12749
деньги	s	512,4	9534
вдруг	adv	503,2	5463
любить	v	503,1	6888
стоить	v	501,9	11503
почти	adv	501,7	10737
земля	s	494,4	7260
общий	a	492,4	12561
машина	s	490,4	6365
сразу	adv	486	9199
хорошо	adv	485,7	9877
вода	s	484,8	6606
отец	s	484,1	4625
высокий	a	483,3	12042
остаться	v	482,7	10602
выйти	v	480,9	8764
проблема	s	474,9	12849
начать	v	473,3	10696
хороший	a	471,4	9948
час	s	468,1	8561
сегодня	adv	463,5	11629
право	s	461,4	9036
совсем	adv	460,5	8291
нога	s	459,2	5061
считать	v	455,3	12187
главный	a	454,6	13312
решение	s	453,4	11312
увидеть	v	452,4	6969
дверь	s	450,8	4289
казаться	v	448,2	7586
образ	s	445,9	11471
писать	v	444,3	6914
история	s	443,9	9150
лучший	a	443,2	11353
власть	s	435,6	8885
закон	s	433,4	8195
война	s	425,9	6135
бог	s	425,4	5224
голос	s	424,5	5099
найти	v	424,1	9693
стоять	v	419,3	5109
вообще	adv	417,6	9454
тысяча	s	416	10400
больше	adv	415,3	8693
вместе	adv	414,3	9827
маленький	a	414,1	8377
книга	s	413,9	5659
решить	v	409,7	10694
возможность	s	407,5	12230
результат	s	403,1	12224
ночь	s	402,8	5349
стол	s	402,5	4738
имя	s	401,7	9402
область	s	400,2	10594
молодой	a	400	7446
пройти	v	398,4	10645
например	adv	398	12235
статья	s	395	5744
число	s	393,5	11948
компания	s	392,7	8542
государственный	a	391,3	8823
полный	a	390,6	10687
принять	v	386,9	11757
народ	s	385,6	6870
советский	a	382,9	5941
жена	s	376,8	4361
настоящий	a	374	10034
группа	s	372,8	9019
развитие	s	372,6	9208
процесс	s	371,7	9126
суд	s	371,1	4735
давать	v	370,7	9941
ответить	v	370,4	5662
старый	a	368,5	7242
условие	s	368,1	10779
средство	s	363,9	9690
помнить	v	363,1	5704
начало	s	361,4	11142
ждать	v	360,2	6976
свет	s	359,7	6490
пора	s	358,2	9884
путь	s	357,3	9090
душа	s	356,8	5830
нужно	adv	353,7	8841
разный	a	352,6	9853
нужный	a	351,9	8431
уровень	s	348,5	10334
форма	s	347,8	8229
связь	s	346,1	9592
минута	s	344,2	5853
находиться	v	342,7	10424
опять	adv	342,2	5255
белый	a	339,6	5693
собственный	a	338,3	9559
улица	s	337,8	6496
черный	a	337,5	5448
написать	v	336,2	6048
вечер	s	335,4	5441
снова	adv	334,4	4950
основной	a	334,1	11318
качество	s	331,7	10717
мысль	s	331,6	5346
дорога	s	330,1	6034
мать	s	330,1	3852
действие	s	329,3	8471
месяц	s	328	8900
оставаться	v	327,4	9585
государство	s	326,4	7518
язык	s	324,9	6036
любовь	s	323,9	5147
взгляд	s	323,8	6774
мама	s	322,6	3198
играть	v	319,1	6407
далекий	a	318,3	6925
лежать	v	318,1	5232
нельзя	adv	317,7	8001
век	s	317,4	6926
школа	s	316	6058
уйти	v	315,6	6163
подумать	v	315,6	4229
цель	s	315,5	9400
общество	s	314,7	6203
посмотреть	v	314,2	5341
деятельность	s	313,5	7568
организация	s	312,4	8542
вернуться	v	311,2	5844
президент	s	311	7600
комната	s	310,7	3661
порядок	s	307,6	8151
момент	s	306,8	8841
театр	s	305,3	3128
следовать	v	305,1	8778
читать	v	304,4	5215
письмо	s	304,3	4522
подобный	a	301,6	9421
следующий	a	301,4	9635
утро	s	301,3	4993
особенно	adv	300,3	9151
помощь	s	300,1	9691
ситуация	s	298,8	9729
роль	s	297,9	7398
бывать	v	297,3	6512
ходить	v	296,6	5439
рубль	s	296,4	6998
начинать	v	296	8243
появиться	v	294,6	8767
смысл	s	294,6	7160
состояние	s	294,4	8231
называть	v	293,4	8780
рядом	adv	291,8	5505
квартира	s	290,9	4447
назад	adv	290,7	8616
равный	a	289,7	7809
орган	s	288,4	6022
внимание	s	286	9306
труд	s	285,9	7004
тело	s	285,9	4943
прийтись	v	285,5	8007
хотеться	v	285,3	6330
сын	s	285,1	4408
мера	s	284,3	9174
смерть	s	284,1	4506
живой	a	284	5736
рынок	s	283,3	6951
программа	s	282,6	8148
задача	s	282,4	8142
предприятие	s	281,6	6408
известный	a	281,1	9400
окно	s	280,8	3883
вести	v	280,3	7897
совершенно	adv	280,3	6840
военный	a	278,7	4753
разговор	s	278,3	5117
показать	v	277,7	8111
правительство	s	277,7	7236
важный	a	277	9219
семья	s	276,6	6153
великий	a	276,3	5873
производство	s	275,6	6484
простой	a	275,3	8450
значит	adv	274,9	5692
огромный	a	272,1	6805
давно	adv	272	7336
политический	a	269,6	5825
информация	s	269,2	7314
действительно	adv	268,6	7527
положение	s	268,2	7742
поставить	v	267,3	7836
бояться	v	266,5	4549
центр	s	265,9	9074
наконец	adv	265,9	6160
происходить	v	263,6	7996
ответ	s	263,3	6951
муж	s	263	3319
автор	s	262,1	6216
стена	s	261	4312
существовать	v	260,9	8482
интерес	s	260,6	8256
становиться	v	259,3	7869
федерация	s	258,9	4175
правило	s	258,8	7928
часто	adv	257,8	7399
московский	a	257,3	7936
управление	s	256,5	7225
слышать	v	256,1	4462
быстро	adv	255,7	5900
смочь	v	255,1	8476
заметить	v	253,9	5724
мужчина	s	253,2	4125
долго	adv	253,1	5352
правда	adv	252,4	7655
идея	s	250,8	6521
партия	s	250,4	4489
иногда	adv	249,8	5677
использовать	v	249,6	8730
пытаться	v	249,4	6843
готовый	a	248,5	7815
чуть	adv	248,3	5392
представить	v	247,2	8529
чувствовать	v	246,9	4762
создать	v	245,9	9362
совет	s	245,5	6880
счет	s	245,4	8497
сердце	s	245,1	4518
движение	s	244,7	5848
вещь	s	242,5	5410
материал	s	242,4	7279
неделя	s	242,2	7197
чувство	s	242,2	4664
затем	adv	241,3	7088
заниматься	v	240,8	7727
продолжать	v	240,6	6302
красный	a	240,5	4981
глава	s	240,2	6919
слушать	v	239,5	3830
наука	s	239	5170
узнать	v	238,1	4926
ряд	s	238	8738
газета	s	237,5	5350
причина	s	237,2	8118
плечо	s	236,4	3181
современный	a	236,1	8092
цена	s	236,1	6883
план	s	235,3	7397
приехать	v	234,4	4587
речь	s	234,2	6764
отвечать	v	232,4	6607
точка	s	232,2	7224
основа	s	231	7646
товарищ	s	230,6	3202
культура	s	230,2	5483
слишком	adv	230,1	6158
рассказывать	v	230	5391
вполне	adv	229,8	7671
далее	adv	229,6	7233
рассказать	v	229,4	5883
данные	s	229	6618
представлять	v	228,5	8016
мнение	s	228,4	8619
социальный	a	228,2	5073
документ	s	226,8	6081
ход	s	226,5	7283
институт	s	226,5	5848
брать	v	226,3	5836
забыть	v	226	4910
проект	s	225,9	6965
ранний	a	225,7	6533
встреча	s	224,9	5659
особый	a	224,3	7528
целый	a	222,5	6702
директор	s	222,2	6254
провести	v	222	8931
спать	v	221,9	3167
плохой	a	221,6	5861
может	adv	221	3854
впрочем	adv	220,7	6845
сильный	a	220,5	6204
наверное	adv	220,2	4827
скорый	a	220	6783
срок	s	219,7	6743
палец	s	219,1	3040
опыт	s	218,8	7242
помочь	v	218,8	6162
приходить	v	218,2	5596
служба	s	218,1	5902
крупный	a	217,3	7555
внутренний	a	216,1	6438
просить	v	215,9	4474
вспомнить	v	215,5	4696
открыть	v	214,8	5628
привести	v	214,7	7716
судьба	s	213,9	5355
пока	adv	213,4	7762
девушка	s	213,3	3417
очередь	s	212,5	7696
лес	s	211,5	3264
экономический	a	210,6	5899
оставить	v	210,5	5392
правый	a	210,4	4655
состав	s	209,8	6754
федеральный	a	208,9	5181
спрашивать	v	208,3	3810
принимать	v	207,7	7397
член	s	207,4	6078
искать	v	206,9	5266
близкий	a	206,8	6077
количество	s	206,7	8094
событие	s	206,5	6250
похожий	a	206,5	4668
объект	s	206,4	4598
зал	s	206,3	3980
создание	s	206,1	7395
различный	a	205,5	7293
войти	v	205,5	5227
назвать	v	205,1	7109
значение	s	205,1	5619
достаточно	adv	204,7	7956
период	s	204,2	6662
шаг	s	203,8	4988
необходимый	a	203,7	8135
успеть	v	203,4	4508
произойти	v	203,2	6481
брат	s	203	3497
искусство	s	202,6	4032
единственный	a	202,2	6857
структура	s	202,1	6092
легкий	a	202,1	5500
выходить	v	201,6	5550
пример	s	201,2	7661
предложить	v	201,2	6811
номер	s	201,2	4792
пить	v	200,9	3381
исследование	s	200,5	4822
гражданин	s	199,4	5618
человеческий	a	199,3	4579
глядеть	v	199,3	3012
игра	s	199	4966
начальник	s	198,9	4609
рост	s	198,4	5936
международный	a	198,2	6275
ехать	v	198,2	3686
тема	s	198,1	6199
принцип	s	197,9	6654
дорогой	a	197,7	5625
попасть	v	197,7	5539
начаться	v	197,4	6666
верить	v	197,1	4336
тип	s	197	5666
метод	s	197	4912
фильм	s	196,8	3009
небольшой	a	196,6	6721
держать	v	196,5	4204
позволять	v	194,3	7687
край	s	194	4460
местный	a	193,3	6412
менее	adv	192,9	7763
купить	v	192,7	5092
уходить	v	192,7	4652
гость	s	192,7	4202
собираться	v	192,6	5778
воздух	s	192,2	4322
относиться	v	191,6	6746
бывший	a	191,5	5675
требовать	v	190,9	7101
характер	s	190,7	5908
борьба	s	190,5	6371
кстати	adv	190,3	6925
использование	s	190,3	5774
подойти	v	190	3608
размер	s	189,3	5725
удаться	v	189,1	7051
образование	s	188,9	5516
получать	v	188,2	7470
мальчик	s	188	2783
район	s	187,8	5771
кровь	s	187,8	3643
небо	s	187,6	3396
американский	a	186,5	5025
армия	s	186,4	3483
класс	s	185,8	4615
представитель	s	185,7	7474
участие	s	185,6	7659
девочка	s	185,1	2621
политика	s	184,9	5734
сначала	adv	184,6	5562
герой	s	184	3957
широкий	a	183,9	6315
картина	s	183,9	4400
доллар	s	183,1	5010
спина	s	183,1	2826
территория	s	182,9	5941
мировой	a	182,3	6039
пол	s	181,9	3533
тяжелый	a	180,3	4849
довольно	adv	180,2	5690
поле	s	180,2	4716
изменение	s	179,8	6131
умереть	v	179,7	3620
течение	s	179,2	7140
направление	s	179,2	6394
рисунок	s	179,2	2764
возможный	a	179,1	7299
церковь	s	178,6	2384
банк	s	178,1	3259
отдельный	a	177,5	6689
средний	a	177,3	6279
красивый	a	177,2	4273
сцена	s	177,2	2926
население	s	176,5	5340
большинство	s	176,1	7491
сесть	v	175,9	3211
случиться	v	175,8	4433
музыка	s	175,7	3440
короткий	a	175,6	4629
правда	s	175,5	3916
проходить	v	175,4	6432
составлять	v	175	7477
свобода	s	174,9	4194
приходиться	v	174,5	6442
память	s	174,5	4108
команда	s	174,2	3859
установить	v	174	6094
союз	s	173,9	4528
поднять	v	173,8	3686
врач	s	173,1	3401
серьезный	a	173	6744
стараться	v	172,8	4402
договор	s	172,8	3254
уметь	v	172,5	4360
встать	v	172,1	3548
интересный	a	171,9	6125
дерево	s	171,9	3504
факт	s	171,3	5877
добрый	a	171,1	4317
хозяин	s	170,6	3864
национальный	a	170,3	5155
однажды	adv	170,2	3546
длинный	a	170,1	3436
природа	s	169,9	4373
домой	adv	169,6	3448
страшный	a	169,1	3975
прошлый	a	169	7774
общественный	a	168,1	5206
угол	s	168,1	3539
телефон	s	167,8	3648
проводить	v	167,6	6915
позиция	s	167,6	5760
скоро	adv	167,3	4571
наиболее	adv	167,2	6900
двор	s	166,9	2953
обычно	adv	166,7	5446
бросить	v	166,5	3369
писатель	s	166,3	2666
самолет	s	166,1	2777
объем	s	165,8	5872
далеко	adv	165,5	5424
род	s	165,5	5260
солнце	s	165,2	3127
вера	s	165,1	2845
берег	s	164,7	2868
спектакль	s	164,7	1819
фирма	s	164,4	4902
способ	s	164,2	5834
завод	s	164	3940
цвет	s	163,6	4287
трудно	adv	163,3	5523
руководитель	s	162	6431
журнал	s	162	4606
специалист	s	161,9	6784
возможно	adv	161,8	5908
детский	a	161,8	4372
точно	adv	161,7	4737
оценка	s	161,4	5411
объяснить	v	161,4	4364
единый	a	161,3	5812
снять	v	161,3	4197
определенный	a	161,2	5926
низкий	a	160,7	6091
нравиться	v	160,6	3676
услышать	v	160,4	3434
регион	s	160,3	5320
связать	v	160,2	6337
процент	s	160,1	4875
песня	s	160,1	2919
родитель	s	160	3611
позволить	v	159,6	6709
чужой	a	159,6	3627
странный	a	159,5	3735
море	s	159,5	3188
требование	s	159,4	5113
чистый	a	159	4768
весьма	adv	158,8	5938
половина	s	158,8	5702
основание	s	158,8	5021
поехать	v	158,4	3040
положить	v	158,1	3871
входить	v	157,9	6332
легко	adv	157,9	5189
поздний	a	157,7	4753
роман	s	157,7	2696
круг	s	157,4	5010
анализ	s	157	4197
стихи	s	157	1861
автомобиль	s	156,9	3453
специальный	a	156,8	6520
экономика	s	156,3	4511
литература	s	156	3722
бумага	s	155,8	3570
впервые	adv	155,5	5270
видно	adv	155,2	4006
оказываться	v	155,1	5218
научный	a	155,1	4076
поэт	s	155,1	2049
степень	s	155	5908
показывать	v	155	5560
вызвать	v	154,9	5405
касаться	v	154,7	6473
господин	s	154,6	3202
сложный	a	154,5	6265
надежда	s	154,5	4436
предмет	s	154,4	4530
отметить	v	154,3	6713
заявить	v	154,2	6252
вариант	s	154,1	5662
министр	s	154,1	4384
реальный	a	153,8	6076
граница	s	153,7	4738
действовать	v	153,5	6101
дух	s	153,5	4079
модель	s	153,5	3916
операция	s	153,3	3952
пара	s	152,7	4354
сон	s	152,7	2690
немного	adv	151,9	4135
название	s	151,8	5576
ум	s	151,5	3656
повод	s	151,2	5611
старик	s	151	2037
способный	a	150,5	5814
миллион	s	150,4	4884
малый	a	150,2	4609
успех	s	149,5	5547
старший	a	149,5	4022
практически	adv	149,4	7321
получиться	v	149,3	4826
личный	a	149,2	4805
счастье	s	149,2	3833
необходимо	adv	149	6320
свободный	a	149	4901
ребята	s	148,9	2824
обычный	a	148,7	5376
кабинет	s	148,5	2907
прекрасный	a	148,4	4118
высший	a	147,8	4833
кричать	v	147,3	2642
пространство	s	147,2	4154
магазин	s	147,2	3858
выход	s	147	5099
остановиться	v	147	3158
удар	s	146,8	3275
база	s	146,7	5150
знание	s	146,4	3690
текст	s	146,2	3769
темный	a	146	2802
предлагать	v	145,9	6446
защита	s	145,9	5009
руководство	s	145,7	5685
вовсе	adv	145,3	4625
площадь	s	145,2	4265
сознание	s	145,2	3167
гражданский	a	144,7	3628
убить	v	144,7	2795
возраст	s	144,5	4383
молчать	v	144,5	2343
участник	s	144,2	5635
согласиться	v	144,2	4160
участок	s	144,2	3858
рано	adv	144,1	4730
пункт	s	144	4084
несмотря	adv	143,9	6166
сильно	adv	143,9	4442
сообщить	v	143,8	5001
линия	s	143,7	4534
желание	s	143,6	4988
бежать	v	143,6	2758
папа	s	143,4	2079
кажется	adv	143,2	3154
петь	v	143,2	2802
доктор	s	143,1	2677
известно	adv	143	6103
губа	s	143	1931
дома	adv	142,5	3602
вызывать	v	142,4	5228
среда	s	142,4	4881
показаться	v	142,4	3199
дочь	s	142,4	2662
председатель	s	142,3	5070
представление	s	142,2	4128
художник	s	142,2	2738
солдат	s	142,2	2170
принести	v	141,9	4153
оружие	s	141,8	3014
волос	s	141,8	2310
выглядеть	v	141,7	4929
соответствие	s	141	4887
служить	v	140,3	4839
внешний	a	140,3	4801
ветер	s	140,3	2716
парень	s	140,3	2389
зрение	s	140,2	5286
попросить	v	140,2	3316
генерал	s	140	1951
состоять	v	139,9	5480
отдать	v	139,8	4162
огонь	s	139,8	3062
боевой	a	139,6	2694
строительство	s	139,4	4407
понятие	s	139,4	3716
ухо	s	139,3	2644
выступать	v	138,8	5090
нос	s	138,8	2546
грудь	s	138,8	2307
ставить	v	138,7	4950
завтра	adv	138,5	3098
возникать	v	138,4	5125
страх	s	138,4	2867
услуга	s	138,3	4229
рабочий	a	138	4950
содержание	s	137,3	4565
глубокий	a	137,3	4406
радость	s	137,2	3583
надеяться	v	137,1	4734
безопасность	s	137,1	4411
продукт	s	136,7	4209
видимо	adv	136,4	4094
комплекс	s	136,3	4799
бизнес	s	136,2	4140
подняться	v	136,2	2588
вспоминать	v	135,9	3532
мало	adv	135,8	4754
сад	s	135,8	2783
долгий	a	135,5	4654
одновременно	adv	135,4	5285
называться	v	135,3	4706
сотрудник	s	135,1	4750
лето	s	135	4302
тихо	adv	135	2333
прямой	a	134,8	5124
предложение	s	134,5	5243
финансовый	a	134,5	4928
помогать	v	134,5	4613
курс	s	134,5	4150
открытый	a	134,4	5078
значить	v	134	4229
возникнуть	v	133,6	4853
рот	s	133,6	2340
технология	s	133,5	4640
знакомый	a	133,4	3538
недавно	adv	133,3	5867
реформа	s	133,1	3359
отсутствие	s	132,4	5634
нынешний	a	132,3	6265
собака	s	132,2	2394
камень	s	131,9	2922
будущее	s	131,4	5116
рассказ	s	131,3	2989
звать	v	131,3	2934
контроль	s	131,2	4862
река	s	131	2698
позвонить	v	131	2397
хватать	v	130,9	4279
продукция	s	130,8	3824
сумма	s	130,6	4758
техника	s	130,5	4455
исторический	a	130,4	3714
вновь	adv	130,3	4304
народный	a	130,3	4303
здание	s	129,9	3684
выпить	v	129,9	2255
сфера	s	129,5	4790
знаменитый	a	129,4	4004
потерять	v	129,2	4294
необходимость	s	129,1	5735
больший	a	128,9	5679
фонд	s	128,6	3935
иметься	v	128,4	5148
вперед	adv	128,1	3225
подготовка	s	127,9	4896
вчера	adv	127,6	3642
лист	s	127,6	2933
пустой	a	127,5	3030
очередной	a	127,4	5153
республика	s	127,4	3486
хозяйство	s	127,2	3779
полностью	adv	127	5902
получаться	v	127	4507
учиться	v	126,9	3791
плохо	adv	126,5	3704
воля	s	126,4	3596
судебный	a	126,1	1967
бюджет	s	126	4092
расти	v	125,8	5045
возвращаться	v	125,8	3667
снег	s	125,2	2190
деревня	s	125,1	2571
обнаружить	v	125	4305
мужик	s	124,7	2084
постоянно	adv	124,6	5245
элемент	s	124,4	3843
зеленый	a	124,4	3278
обстоятельство	s	124,2	4125
почувствовать	v	124,2	2889
немец	s	124,1	1715
победа	s	124	4032
источник	s	123,7	4939
немецкий	a	123,6	2992
передать	v	123,5	4042
золотой	a	123,5	3478
технический	a	123,4	4712
нормальный	a	123,2	4470
желать	v	123,1	4182
едва	adv	123,1	3200
ожидать	v	123	4243
звезда	s	122,7	3171
городской	a	122,4	4438
выбор	s	122	4950
соответствующий	a	121,8	5001
масса	s	121,7	4295
составить	v	121,6	5585
итог	s	121,5	6328
сестра	s	121,3	2260
ясно	adv	120,8	3976
практика	s	120,7	4780
определить	v	120,6	5336
проведение	s	120,6	4826
нести	v	120,6	4124
карман	s	120,5	2500
любимый	a	120,4	3743
родной	a	120,3	3957
обязательно	adv	120,2	4486
западный	a	120,2	4157
слава	s	120,2	3254
пользоваться	v	120,1	4827
определение	s	120,1	3883
кухня	s	120,1	2462
быстрый	a	119,8	4403
функция	s	119,6	3718
войско	s	119,4	2236
применение	s	119,3	4124
комиссия	s	119,3	3544
работник	s	119	3916
холодный	a	119	3212
улыбнуться	v	119	1557
капитан	s	119	1342
обеспечение	s	118,8	4100
офицер	s	118,7	1906
появляться	v	118,4	4331
конкретный	a	118,1	4946
фамилия	s	118,1	2820
предел	s	118	4827
прямо	adv	118	3714
смеяться	v	117,9	2388
выборы	s	117,7	3025
иностранный	a	117,4	3788
ученый	s	117,4	3235
уехать	v	117,4	2603
счастливый	a	117,2	3042
левый	a	117,2	2876
бутылка	s	117,1	2143
бой	s	117	2286
подходить	v	116,9	3795
судить	v	116,8	4355
родиться	v	116,7	3804
теория	s	116,5	2364
зона	s	116,4	3520
отдел	s	116,2	3477
зуб	s	116	2315
разработка	s	115,9	4271
отказаться	v	115,8	4462
святой	a	115,8	2541
считаться	v	115,7	4941
точный	a	115,7	4353
занять	v	115,6	4754
личность	s	115,6	3091
добавить	v	115,5	3608
товар	s	115,5	3128
гора	s	115,5	2847
медленно	adv	115,4	2492
звонить	v	115,4	2327
носить	v	115,3	4158
метр	s	115,2	3462
начинаться	v	115,1	4378
зависеть	v	115	5293
праздник	s	115	3597
построить	v	114,9	4638
влияние	s	114,9	4292
читатель	s	114,7	3567
частый	a	114,6	4459
удовольствие	s	114,5	3482
актер	s	114,4	1827
слеза	s	114,2	2390
создавать	v	114,1	5283
значительный	a	113,9	5323
ответственность	s	113,8	4121
учитель	s	113,8	2675
акт	s	113,6	2830
принадлежать	v	113,5	4410
встретить	v	113,5	3378
произнести	v	113,5	1854
множество	s	113,3	3881
боль	s	113,3	2655
связанный	a	113,2	5089
участвовать	v	113	4952
особенность	s	113	4562
показатель	s	112,9	3297
занимать	v	112,7	4949
уверенный	a	112,5	3916
корабль	s	112,5	1763
центральный	a	112,4	4762
тонкий	a	112,4	3163
звук	s	112,4	2590
впечатление	s	112,3	3655
спокойно	adv	112,1	2988
частность	s	112	5354
детство	s	111,9	2944
вывод	s	111,8	4509
профессор	s	111,8	2557
будущий	a	111,7	4727
доля	s	111,4	4314
норма	s	111,3	3755
улыбаться	v	111,3	2090
прошлое	s	111,2	3516
командир	s	110,9	1371
коридор	s	110,8	2041
рамка	s	110,6	5230
поддержка	s	110,6	5024
вскоре	adv	110,5	3170
этап	s	110,3	4310
враг	s	110,3	2585
черт	s	110,2	2089
дед	s	110,1	1546
направить	v	109,9	4864
собрание	s	109,9	3325
прием	s	109,8	3784
физический	a	109,8	3488
болезнь	s	109,6	3064
клетка	s	109,6	1757
кожа	s	109,5	2319
заявление	s	109,3	3640
сравнение	s	109,1	4940
попытка	s	109,1	4456
расчет	s	108,9	4025
частный	a	108,7	4298
депутат	s	108,7	3285
обратиться	v	108,6	4326
невозможно	adv	108,5	4517
мелкий	a	108,5	3627
постоянный	a	108,4	4823
английский	a	108,4	3206
комитет	s	108,1	3769
знак	s	108	3241
выбрать	v	107,9	4748
примерно	adv	107,8	4804
бить	v	107,5	2640
дядя	s	107,5	1479
учет	s	107,4	4193
хлеб	s	107,4	2352
хватить	v	107,3	3223
тихий	a	107,3	2634
обещать	v	107,2	3724
встречаться	v	106,8	3750
чай	s	106,8	2178
режим	s	106,7	4109
целое	s	106,6	5015
гораздо	adv	106,5	4570
вирус	s	106,5	747
выражение	s	106,4	3127
напоминать	v	106,2	3924
уж	adv	106,2	3144
неожиданно	adv	106,1	2754
здоровье	s	106	3768
зима	s	106	3250
упасть	v	106	2881
перестать	v	105,8	3236
десяток	s	105,7	4334
глубина	s	105,6	2986
сеть	s	105,5	3481
студент	s	105,4	2737
обладать	v	105,2	4511
скорость	s	105,2	3180
секунда	s	105,2	2527
поиск	s	105	4086
суть	s	104,9	4566
европейский	a	104,9	4016
налог	s	104,7	2549
ошибка	s	104,4	3635
ближайший	a	104,3	5334
отечественный	a	104,3	4778
теплый	a	104	3015
плакать	v	103,9	2216
духовный	a	103,7	2334
прежний	a	103,6	3622
доход	s	103,6	3149
режиссер	s	103,5	1848
поверхность	s	103,4	2795
ощущение	s	103,3	3122
состояться	v	103,1	4930
клуб	s	103	2994
станция	s	103	2636
карта	s	103	2632
революция	s	102,9	2458
министерство	s	102,8	4096
стекло	s	102,8	2539
колено	s	102,8	2028
этаж	s	102,7	2397
наоборот	adv	101,9	3861
высота	s	101,9	3190
поверить	v	101,8	2794
бабушка	s	101,8	1927
трубка	s	101,7	1616
собрать	v	101,6	4132
профессиональный	a	101,5	4043
французский	a	101,5	2965
женский	a	101,4	2858
крайний	a	101,3	4208
простить	v	101,1	2270
газ	s	101	2730
естественно	adv	100,8	4030
мастер	s	100,8	2885
главное	adv	100,7	3916
поведение	s	100,7	2962
вниз	adv	100,7	2274
рассматривать	v	100,6	3959
перейти	v	100,5	4037
мешать	v	100,4	3455
столица	s	100,2	4009
механизм	s	100,1	3778
передача	s	100,1	3452
способность	s	99,9	3664
исчезнуть	v	99,9	2662
божий	a	99,9	1827
подход	s	99,8	3881
разумеется	adv	99,7	3316
энергия	s	99,7	2905
дальнейший	a	99,6	4947
существование	s	99,6	3793
исполнение	s	99,5	3235
сожаление	s	99,4	4283
кино	s	99,4	2353
заместитель	s	99,3	4196
объявить	v	99	3989
отличаться	v	98,9	4586
естественный	a	98,7	3831
ресурс	s	98,7	3506
обращаться	v	98,6	4012
явно	adv	98,5	3626
рождение	s	98,5	3344
акция	s	98,5	3051
снимать	v	98,5	3010
информационный	a	98,5	2730
администрация	s	98,3	4120
железный	a	98,3	2649
пригласить	v	98,2	2909
соответствовать	v	98,1	4384
стоимость	s	98,1	3897
улыбка	s	98,1	2015
горячий	a	98	3141
артист	s	98	1672
придумать	v	97,9	3116
закрыть	v	97,9	2967
приводить	v	97,8	4253
попробовать	v	97,8	3147
сосед	s	97,8	2874
фраза	s	97,8	2631
веселый	a	97,7	2515
фигура	s	97,5	2825
достигнуть	v	97,4	4590
утверждать	v	97,3	4381
субъект	s	97,3	2508
список	s	97,2	3853
реакция	s	97,2	3006
фотография	s	97,2	2463
означать	v	97	4149
май	s	97	3815
журналист	s	97	3235
платить	v	96,9	3722
нарушение	s	96,8	3345
заседание	s	96,7	3323
толпа	s	96,7	2128
существо	s	96,6	2802
больница	s	96,6	2365
решать	v	96,5	4584
официальный	a	96,4	4275
интересно	adv	96,4	3329
свойство	s	96,4	3006
поколение	s	96,2	3571
долг	s	96,2	3187
серый	a	96,1	2202
усилие	s	95,9	4112
схема	s	95,9	3489
животное	s	95,9	2329
отличие	s	95,8	4597
определять	v	95,7	4260
опасный	a	95,7	3526
остров	s	95,7	1915
наблюдать	v	95,5	3236
противник	s	95,5	2336
погибнуть	v	95,4	2885
волна	s	95,4	2763
разговаривать	v	95,4	2375
реализация	s	95,1	3973
страница	s	95,1	3090
формирование	s	95	3539
житель	s	94,9	4129
устроить	v	94,9	3338
правильно	adv	94,7	3327
красота	s	94,7	2837
есть	v	94,7	2415
собраться	v	94,5	3266
птица	s	94,5	2129
достать	v	94,4	2127
растение	s	94,4	1530
явление	s	94,3	3174
тень	s	94,3	2393
храм	s	94,2	1812
слабый	a	94,1	3426
запах	s	94,1	2122
наличие	s	93,9	4161
яркий	a	93,9	3664
пожалуй	adv	93,9	3270
водка	s	93,9	1939
ужас	s	93,8	2549
